4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4
4,1,4,1,4,4,4,4,1,4,1,4,4,4,4,1,4,1,4
4,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,4
4,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4
4,1,4,1,1,4,0,4,4,4,4,4,0,4,1,1,4,1,4
4,1,4,4,1,4,0,0,0,2,0,0,0,4,1,4,4,1,4
4,4,4,1,1,1,0,4,4,1000,4,4,0,1,1,1,4,4,4
-1,1,4,1,1,4,0,4,2000,8000,4000,4,0,4,1,1,4,1,-1
4,1,1,1,1,4,4,4,4,1,4,4,4,4,1,1,1,1,4
4,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,4
4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4
4,1,4,1,4,4,4,4,4,1,4,4,4,4,4,1,4,1,4
4,1,1,1,1,1,1,1,4,16000,4,1,1,1,1,1,1,1,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
